match_id,minute,homeTeam_name,awayTeam_name,homeGoals,awayGoals
226,45,Lecce,Torino,0,0
226,46,Lecce,Torino,1,0
226,47,Lecce,Torino,1,0
226,48,Lecce,Torino,1,0
226,49,Lecce,Torino,1,0
226,50,Lecce,Torino,1,0
226,51,Lecce,Torino,1,0
226,52,Lecce,Torino,1,0
226,53,Lecce,Torino,1,0
226,54,Lecce,Torino,1,0
226,55,Lecce,Torino,1,0
226,56,Lecce,Torino,1,0
226,57,Lecce,Torino,1,0
226,58,Lecce,Torino,1,0
226,59,Lecce,Torino,1,0
226,60,Lecce,Torino,1,0
226,61,Lecce,Torino,1,0
226,62,Lecce,Torino,1,0
226,63,Lecce,Torino,1,0
226,64,Lecce,Torino,1,0
226,65,Lecce,Torino,1,0
226,66,Lecce,Torino,1,0
226,67,Lecce,Torino,1,0
226,68,Lecce,Torino,1,0
226,69,Lecce,Torino,1,0
226,70,Lecce,Torino,1,0
226,71,Lecce,Torino,1,0
226,72,Lecce,Torino,1,0
226,73,Lecce,Torino,1,0
226,74,Lecce,Torino,1,0
226,75,Lecce,Torino,1,0
226,76,Lecce,Torino,1,0
226,77,Lecce,Torino,1,0
226,78,Lecce,Torino,1,0
226,79,Lecce,Torino,1,0
226,80,Lecce,Torino,1,0
226,81,Lecce,Torino,1,0
226,82,Lecce,Torino,1,0
226,83,Lecce,Torino,1,0
226,84,Lecce,Torino,1,0
226,85,Lecce,Torino,1,0
226,86,Lecce,Torino,1,0
226,87,Lecce,Torino,1,0
226,88,Lecce,Torino,1,0
226,89,Lecce,Torino,1,0
226,90,Lecce,Torino,1,0
227,1,Lecce,Udinese,0,0
227,2,Lecce,Udinese,0,0
227,3,Lecce,Udinese,0,0
227,4,Lecce,Udinese,0,0
227,5,Lecce,Udinese,0,0
227,6,Lecce,Udinese,0,0
227,7,Lecce,Udinese,0,0
227,8,Lecce,Udinese,0,0
227,9,Lecce,Udinese,0,0
227,10,Lecce,Udinese,0,0
227,11,Lecce,Udinese,0,0
227,12,Lecce,Udinese,0,0
227,13,Lecce,Udinese,0,0
227,14,Lecce,Udinese,0,0
227,15,Lecce,Udinese,0,0
227,16,Lecce,Udinese,0,0
227,17,Lecce,Udinese,0,0
227,18,Lecce,Udinese,0,0
227,19,Lecce,Udinese,0,0
227,20,Lecce,Udinese,0,0
227,21,Lecce,Udinese,0,0
227,22,Lecce,Udinese,0,0
227,23,Lecce,Udinese,0,0
227,24,Lecce,Udinese,0,0
227,25,Lecce,Udinese,0,0
227,26,Lecce,Udinese,0,0
227,27,Lecce,Udinese,0,0
227,28,Lecce,Udinese,0,0
227,29,Lecce,Udinese,0,0
227,30,Lecce,Udinese,0,0
227,31,Lecce,Udinese,0,0
227,32,Lecce,Udinese,0,1
227,33,Lecce,Udinese,0,1
227,34,Lecce,Udinese,0,1
227,35,Lecce,Udinese,0,1
227,36,Lecce,Udinese,0,1
227,37,Lecce,Udinese,0,1
227,38,Lecce,Udinese,0,1
227,39,Lecce,Udinese,0,1
227,40,Lecce,Udinese,0,1
227,41,Lecce,Udinese,0,1
