match_id,minute,homeTeam_name,awayTeam_name,homeGoals,awayGoals,shot_count,shot_player,shot_result,shot_xG,shot_situation,shot_type,shot_x,shot_y,shot_assisted_by,shot_last_action,is_goal_minute,home_xG_total,away_xG_total
193,71,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.3881,0.6597
193,72,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.3881,0.6597
193,73,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.3881,0.6597
193,74,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.3881,0.6597
193,75,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.3881,0.6597
193,76,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.3881,0.6597
193,77,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.3881,0.6597
193,78,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.3881,0.6597
193,79,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.3881,0.6597
193,80,Manchester City,Bournemouth,2,0,1,Omar Marmoush,MissedShots,0.0703,DirectFreekick,RightFoot,0.7569999694824219,0.4759999847412109,,Standard,0,1.4584,0.6597
193,81,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.4584,0.6597
193,82,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.4584,0.6597
193,83,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.4584,0.6597
193,84,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.4584,0.6597
193,85,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.4584,0.6597
193,86,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.4584,0.6597
193,87,Manchester City,Bournemouth,2,0,0,,,,,,,,,,0,1.4584,0.6597
193,88,Manchester City,Bournemouth,2,0,1,Nico González,Goal,0.1394,OpenPlay,RightFoot,0.8369999694824218,0.35400001525878905,Matheus Nunes,Throughball,1,1.5978,0.6597
193,89,Manchester City,Bournemouth,3,0,0,,,,,,,,,,0,1.5978,0.6597
193,90,Manchester City,Bournemouth,3,1,0,,,,,,,,,,0,1.5978,0.6597
194,1,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0,0.0
194,2,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0,0.0
194,3,Manchester City,Brentford,0,1,1,Bryan Mbeumo,BlockedShot,0.1212,OpenPlay,RightFoot,0.895,0.45,Mikkel Damsgaard,Chipped,0,0.0,0.6944
194,4,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0,0.6944
194,5,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0,0.6944
194,6,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0,0.6944
194,7,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0,0.6944
194,8,Manchester City,Brentford,0,1,1,Nathan Collins,SavedShot,0.1246,FromCorner,RightFoot,0.93,0.495,Bryan Mbeumo,Cross,0,0.0,0.819
194,9,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0,0.819
194,10,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0,0.819
194,11,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0,0.819
194,12,Manchester City,Brentford,0,1,1,Ilkay Gündogan,MissedShots,0.0251,FromCorner,Head,0.975,0.39,Kevin De Bruyne,Cross,0,0.0251,0.819
194,13,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0251,0.819
194,14,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0251,0.819
194,15,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0251,0.819
194,16,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0251,0.819
194,17,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0251,0.819
194,18,Manchester City,Brentford,0,1,0,,,,,,,,,,0,0.0251,0.819
194,19,Manchester City,Brentford,1,1,1,Erling Haaland,Goal,0.0693,OpenPlay,RightFoot,0.9159999847412109,0.39299999237060546,,Dispossessed,1,0.0943,0.819
194,20,Manchester City,Brentford,1,1,0,,,,,,,,,,0,0.0943,0.819
194,21,Manchester City,Brentford,1,1,0,,,,,,,,,,0,0.0943,0.819
194,22,Manchester City,Brentford,1,1,0,,,,,,,,,,0,0.0943,0.819
194,23,Manchester City,Brentford,1,1,0,,,,,,,,,,0,0.0943,0.819
194,24,Manchester City,Brentford,1,1,0,,,,,,,,,,0,0.0943,0.819
194,25,Manchester City,Brentford,1,1,1,Kevin De Bruyne,MissedShots,0.0181,OpenPlay,LeftFoot,0.730999984741211,0.43099998474121093,Rico Lewis,Pass,0,0.1124,0.819
194,26,Manchester City,Brentford,1,1,0,,,,,,,,,,0,0.1124,0.819
194,27,Manchester City,Brentford,1,1,1,Ethan Pinnock,SavedShot,0.1261,FromCorner,Head,0.9430000305175781,0.51,Bryan Mbeumo,Cross,0,0.1124,0.9452
194,28,Manchester City,Brentford,1,1,1,Ethan Pinnock,SavedShot,0.0137,OpenPlay,Head,0.9080000305175782,0.6419999694824219,Christian Nørgaard,Cross,0,0.1124,0.9588
194,29,Manchester City,Brentford,1,1,0,,,,,,,,,,0,0.1124,0.9588
194,30,Manchester City,Brentford,1,1,0,,,,,,,,,,0,0.1124,0.9588
194,31,Manchester City,Brentford,1,1,1,Erling Haaland,Goal,0.2012,OpenPlay,LeftFoot,0.8730000305175781,0.5729999923706055,Ederson,Pass,1,0.3137,0.9588
194,32,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.3137,0.9588
194,33,Manchester City,Brentford,2,1,1,Sávio,BlockedShot,0.033,FromCorner,LeftFoot,0.865,0.4129999923706055,Kevin De Bruyne,Chipped,0,0.3467,0.9588
194,34,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.3467,0.9588
194,35,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.3467,0.9588
194,36,Manchester City,Brentford,2,1,1,Sávio,SavedShot,0.0294,OpenPlay,LeftFoot,0.8059999847412109,0.32799999237060545,Ilkay Gündogan,Pass,0,0.3761,0.9588
194,37,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.3761,0.9588
194,38,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.3761,0.9588
194,39,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.3761,0.9588
194,40,Manchester City,Brentford,2,1,1,Jack Grealish,BlockedShot,0.0364,FromCorner,RightFoot,0.8959999847412109,0.5729999923706055,,Aerial,0,0.4125,0.9588
194,41,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,0.9588
194,42,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,0.9588
194,43,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,0.9588
194,44,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,0.9588
194,45,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,0.9588
194,46,Manchester City,Brentford,2,1,2,Keane Lewis-Potter,SavedShot,0.0295,SetPiece,RightFoot,0.93,0.745,Kevin Schade,Pass,0,0.4125,1.0089
194,47,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,48,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,49,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,50,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,51,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,52,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,53,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,54,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,55,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,56,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,57,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,58,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,59,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,60,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,61,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,62,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,63,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4125,1.0089
194,64,Manchester City,Brentford,2,1,1,Sávio,MissedShots,0.0462,FromCorner,RightFoot,0.8290000152587891,0.43599998474121093,Ilkay Gündogan,Pass,0,0.4587,1.0089
194,65,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4587,1.0089
194,66,Manchester City,Brentford,2,1,1,Jack Grealish,SavedShot,0.0401,OpenPlay,RightFoot,0.8209999847412109,0.6659999847412109,Kevin De Bruyne,Pass,0,0.4988,1.0089
194,67,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.4988,1.0089
194,68,Manchester City,Brentford,2,1,1,Erling Haaland,SavedShot,0.1168,OpenPlay,RightFoot,0.8830000305175781,0.4379999923706055,Ilkay Gündogan,Pass,0,0.6156,1.0089
194,69,Manchester City,Brentford,2,1,1,Ilkay Gündogan,BlockedShot,0.0297,FromCorner,LeftFoot,0.774000015258789,0.44299999237060544,Sávio,Pass,0,0.6453,1.0089
194,70,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.6453,1.0089
194,71,Manchester City,Brentford,2,1,1,Kyle Walker,MissedShots,0.0267,FromCorner,RightFoot,0.7480000305175781,0.4809999847412109,Ilkay Gündogan,Pass,0,0.672,1.0089
194,72,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.672,1.0089
194,73,Manchester City,Brentford,2,1,1,Kevin De Bruyne,BlockedShot,0.0521,OpenPlay,LeftFoot,0.8119999694824219,0.465,Rodri,Pass,0,0.724,1.0089
194,74,Manchester City,Brentford,2,1,0,,,,,,,,,,0,0.724,1.0089
