match_id,competition,minute,game_phase,formation,from_pos,to_pos,pass_length,pass_angle,pitch_x,pitch_y,pass_outcome
3825848,La Liga 2015/16,58,BUILD_PHASE,F_4_4_2,LB,LM,10.3576,0.1747,51.6,8.4,success
3825848,La Liga 2015/16,59,BUILD_PHASE,F_4_2_3_1,LB,LW,8.3355,-0.5281,37.6,11.3,success
3825848,La Liga 2015/16,59,BUILD_PHASE,F_4_2_3_1,CAM,LB,9.9,-1.5708,38.2,16.1,fail
3825848,La Liga 2015/16,61,TENSION_TIME,F_4_2_3_1,CDM,LW,7.5,0.2838,62.5,71.1,success
3825848,La Liga 2015/16,62,TENSION_TIME,F_4_2_3_1,ST,CDM,6.6068,-2.4527,64.9,63.3,success
3825848,La Liga 2015/16,63,TENSION_TIME,F_4_4_2,GK,CDM,15.0233,-1.1816,6.5,37.0,fail
3825848,La Liga 2015/16,63,TENSION_TIME,F_4_2_3_1,RB,LW,11.2009,-3.0073,107.9,57.0,success
3825848,La Liga 2015/16,64,TENSION_TIME,F_4_2_3_1,RW,RW,13.8521,-3.0549,46.0,73.5,success
3825848,La Liga 2015/16,64,TENSION_TIME,F_4_2_3_1,RB,CDM,15.1238,-1.0746,34.3,60.0,success
3825848,La Liga 2015/16,67,TENSION_TIME,F_4_4_2,CB,CF,43.201,-0.0069,55.5,16.2,fail
3825848,La Liga 2015/16,68,TENSION_TIME,F_4_2_3_1,RW,ST,7.4277,-0.7568,70.0,49.4,fail
3825848,La Liga 2015/16,68,TENSION_TIME,F_4_2_3_1,CB,LW,23.0708,-1.3479,52.6,26.0,success
3825848,La Liga 2015/16,68,TENSION_TIME,F_4_2_3_1,LB,CB,12.816,2.8569,41.4,11.7,success
3825848,La Liga 2015/16,69,TENSION_TIME,F_4_2_3_1,LW,ST,3.7014,-1.5978,69.8,15.2,success
3825848,La Liga 2015/16,69,TENSION_TIME,F_4_4_2,CDM,CDM,8.0212,0.9447,23.5,54.0,success
3825848,La Liga 2015/16,72,LATE_GAME,F_4_2_3_1,ST,LW,14.6414,-1.9856,73.4,53.6,success
3825848,La Liga 2015/16,72,LATE_GAME,F_4_2_3_1,RW,CAM,4.826,-0.1038,67.8,40.9,success
3825848,La Liga 2015/16,73,LATE_GAME,F_4_4_2,LW,RM,8.7818,1.046,97.7,6.8,success
3825848,La Liga 2015/16,73,LATE_GAME,F_4_2_3_1,CDM,RW,20.1358,0.4303,57.2,65.5,fail
3825848,La Liga 2015/16,73,LATE_GAME,F_4_4_2,LW,CDM,8.7664,2.6932,88.0,18.0,success
3825848,La Liga 2015/16,75,LATE_GAME,F_4_2_3_1,ST,CDM,16.1524,-0.7241,98.3,76.4,success
3825848,La Liga 2015/16,75,LATE_GAME,F_4_2_3_1,CB,RB,25.032,1.1858,67.9,53.0,success
3825848,La Liga 2015/16,76,LATE_GAME,F_4_2_3_1,RW,ST,9.4048,-2.3487,106.1,62.1,success
3825848,La Liga 2015/16,76,LATE_GAME,F_4_2_3_1,LB,CAM,11.9604,-0.1005,72.4,35.9,success
3825848,La Liga 2015/16,78,LATE_GAME,F_4_2_3_1,CDM,LW,9.3744,-0.9828,97.0,10.9,success
3825848,La Liga 2015/16,79,LATE_GAME,F_4_4_2,CF,LM,21.5557,-1.7527,71.9,28.3,success
3825848,La Liga 2015/16,79,LATE_GAME,F_4_4_2,LM,LB,7.6551,-2.7951,65.8,7.1,success
3825848,La Liga 2015/16,80,LATE_GAME,F_4_4_2,CDM,RB,20.8331,0.9628,52.4,55.0,success
3825848,La Liga 2015/16,83,LATE_GAME,F_4_2_3_1,CAM,CDM,3.5228,1.6846,85.9,44.8,fail
3825848,La Liga 2015/16,83,LATE_GAME,F_4_2_3_1,ST,LW,15.0233,0.3892,83.0,6.1,success
3825848,La Liga 2015/16,84,LATE_GAME,F_4_2_3_1,LW,LB,25.4503,-0.0629,94.6,6.2,fail
3825848,La Liga 2015/16,84,LATE_GAME,F_4_4_2,CF,LB,17.5915,-1.2167,83.0,22.4,success
3825848,La Liga 2015/16,85,LATE_GAME,F_4_4_2,CF,LM,12.478,-0.1691,82.4,26.5,success
3825848,La Liga 2015/16,88,STOPPAGE_TIME,F_4_4_2,CF,CF,25.6603,-0.244,71.1,30.6,success
3825848,La Liga 2015/16,90,STOPPAGE_TIME,F_4_4_2,CF,CF,19.3536,-0.3152,65.6,19.1,fail
3825848,La Liga 2015/16,90,STOPPAGE_TIME,F_4_2_3_1,RB,CDM,9.4641,-1.2925,39.4,76.6,success
3825848,La Liga 2015/16,91,STOPPAGE_TIME,F_4_2_3_1,RW,CDM,10.3484,-3.0448,99.1,76.2,success
3825895,La Liga 2015/16,0,EARLY_MINUTES,F_4_4_2,RB,CF,40.535,-0.7557,65.9,78.1,success
3825895,La Liga 2015/16,0,EARLY_MINUTES,F_4_4_2,CF,CF,11.7618,0.4674,94.9,49.9,fail
3825895,La Liga 2015/16,0,EARLY_MINUTES,F_3_5_2,CF,CF,5.5036,1.1397,82.4,18.1,success
3825895,La Liga 2015/16,0,EARLY_MINUTES,F_3_5_2,LWB,CB,17.837,-2.6127,56.1,21.8,success
3825895,La Liga 2015/16,1,EARLY_MINUTES,F_3_5_2,CB,CM,18.7,0.0,41.0,5.3,success
3825895,La Liga 2015/16,1,EARLY_MINUTES,F_3_5_2,CB,CM,16.6784,0.3616,48.3,37.8,success
3825895,La Liga 2015/16,2,EARLY_MINUTES,F_3_5_2,CM,CF,11.7516,-1.4771,88.9,74.4,success
3825895,La Liga 2015/16,4,EARLY_MINUTES,F_4_4_2,CDM,CB,25.8936,-2.2467,59.4,60.9,success
3825895,La Liga 2015/16,4,EARLY_MINUTES,F_3_5_2,CDM,CB,31.8479,1.8021,38.0,48.3,fail
3825895,La Liga 2015/16,5,EARLY_MINUTES,F_3_5_2,CM,CB,14.4931,-2.6995,59.1,21.5,success
3825895,La Liga 2015/16,5,EARLY_MINUTES,F_3_5_2,CF,CM,19.3621,1.4413,60.9,21.3,success
3825895,La Liga 2015/16,6,EARLY_MINUTES,F_4_4_2,CDM,CDM,6.9857,1.9832,45.7,16.0,success
3825895,La Liga 2015/16,7,EARLY_MINUTES,F_4_4_2,CDM,RB,34.2177,1.5386,55.1,30.4,success
3825895,La Liga 2015/16,7,EARLY_MINUTES,F_4_4_2,CF,CDM,13.8716,-1.9473,87.6,49.0,success
3825895,La Liga 2015/16,8,EARLY_MINUTES,F_4_4_2,CF,CF,5.9405,-0.63,92.4,56.8,success
3825895,La Liga 2015/16,8,EARLY_MINUTES,F_4_4_2,CF,RB,18.2428,0.2663,97.2,53.8,fail
3825895,La Liga 2015/16,8,EARLY_MINUTES,F_4_4_2,CDM,CF,19.1638,0.3795,79.4,51.9,success
3825895,La Liga 2015/16,9,EARLY_MINUTES,F_4_4_2,RB,LM,2.6907,-0.838,96.0,72.5,fail
3825895,La Liga 2015/16,9,EARLY_MINUTES,F_4_4_2,LM,RB,9.6187,3.0792,97.4,78.1,success
3825895,La Liga 2015/16,10,EARLY_MINUTES,F_3_5_2,CDM,CM,11.114,-1.0427,61.3,37.1,success
