name,team,league,position,role,overall,minutes,90s
Luis Rioja,Valencia,es La Liga,MF,Wide Midfielder / Winger,28.9,2831,31.5
Osame Sahraoui,Lille,fr Ligue 1,FW,Creative Attacking Midfielder,28.9,1293,14.4
Soungoutou Magassa,Monaco,fr Ligue 1,MF,Ball-winning Midfielder,28.9,1025,11.4
Tyler Dibling,Southampton,eng Premier League,FW,Wide Midfielder / Winger,28.9,1874,20.8
Sekou Mara,Strasbourg,fr Ligue 1,FW,Target Man / Physical Striker,28.9,768,8.5
Alex Iwobi,Fulham,eng Premier League,FW,Creative Attacking Midfielder,28.8,2981,33.1
Rubén García,Osasuna,es La Liga,FW,Wide Midfielder / Winger,28.8,2413,26.8
Tim Kleindienst,Gladbach,de Bundesliga,FW,Clinical Striker,28.7,2737,30.4
Diego Carlos,Aston Villa,eng Premier League,DF,Defensive Centre-back,28.7,830,9.2
Zakaria Aboukhlal,Toulouse,fr Ligue 1,MF,Clinical Striker,28.7,1901,21.1
Iñaki Williams,Athletic Club,es La Liga,FW,Creative Attacking Midfielder,28.6,2652,29.5
Boubacar Kamara,Aston Villa,eng Premier League,MF,Ball-winning Midfielder,28.6,1726,19.2
Pablo Marín,Real Sociedad,es La Liga,MF,Wide Midfielder / Winger,28.6,1239,13.8
Illia Zabarnyi,Bournemouth,eng Premier League,DF,Defensive Centre-back,28.6,3109,34.5
Malick Fofana,Lyon,fr Ligue 1,FW,Creative Attacking Midfielder,28.4,1589,17.7
Hugo Guillamón,Valencia,es La Liga,MF,Ball-winning Midfielder,28.4,364,4.0
Carl Johansson,Holstein Kiel,de Bundesliga,DF,Defensive Centre-back,28.3,568,6.3
Kialonda,Lecce,it Serie A,DF,Defensive Centre-back,28.3,2144,23.8
Niklas Stark,Werder Bremen,de Bundesliga,DF,Defensive Centre-back,28.3,2106,23.4
Thomas Müller,Bayern Munich,de Bundesliga,MF,Creative Attacking Midfielder,28.2,1225,13.6
Toti Gomes,Wolves,eng Premier League,DF,Defensive Centre-back,28.2,2614,29.0
Elvis Rexhbeçaj,Augsburg,de Bundesliga,MF,Defensive Midfielder,28.1,1785,19.8
Dailon Livramento,Hellas Verona,it Serie A,FW,Target Man / Physical Striker,28.1,940,10.4
Rodrigo Gomes,Wolves,eng Premier League,DF,Fullback / Wing-back,28.0,810,9.0
Carlos Dominguez,Celta Vigo,es La Liga,DF,Defensive Centre-back,28.0,1181,13.1
Jens Stage,Werder Bremen,de Bundesliga,MF,Box-to-box Midfielder,27.9,2204,24.5
Luca Caldirola,Monza,it Serie A,DF,Defensive Centre-back,27.9,876,9.7
Antoine Griezmann,Atlético Madrid,es La Liga,FW,Creative Attacking Midfielder,27.9,2469,27.4
Stefan Lekovic,Monza,it Serie A,DF,Defensive Centre-back,27.8,367,4.1
Randal Kolo Muani,Juventus,it Serie A,FW,Clinical Striker,27.8,1160,12.9
Lisandro Martínez,Manchester Utd,eng Premier League,DF,Ball-winning Midfielder,27.8,1751,19.5
Anthony Gordon,Newcastle Utd,eng Premier League,FW,Creative Attacking Midfielder,27.8,2434,27.0
Ngal'Ayel Mukau,Lille,fr Ligue 1,MF,Ball-winning Midfielder,27.8,1190,13.2
Danny da Costa,Mainz 05,de Bundesliga,DF,Defensive Centre-back,27.7,2006,22.3
Alessandro Deiola,Cagliari,it Serie A,MF,Defensive Midfielder,27.7,1432,15.9
Lucas Stassin,Saint-Étienne,fr Ligue 1,FW,Clinical Striker,27.7,1887,21.0
Simon Adingra,Brighton,eng Premier League,FW,Creative Attacking Midfielder,27.6,1097,12.2
Rémy Cabella,Lille,fr Ligue 1,FW,Creative Attacking Midfielder,27.5,1011,11.2
Brajan Gruda,Brighton,eng Premier League,MF,Creative Attacking Midfielder,27.5,687,7.6
Dejan Kulusevski,Tottenham,eng Premier League,MF,Creative Attacking Midfielder,27.5,2389,26.5
