name,team,league,position,role,overall,minutes,90s
Luca Pellegrini,Lazio,it Serie A,DF,Box-to-box Midfielder,72.8,1067,11.9
Dimitris Giannoulis,Augsburg,de Bundesliga,DF,Fullback / Wing-back,72.8,2650,29.4
Jann-Fiete Arp,Holstein Kiel,de Bundesliga,FW,Wide Midfielder / Winger,72.8,713,7.9
Esteban Lepaul,Angers,fr Ligue 1,FW,Target Man / Physical Striker,72.7,1629,18.1
Mohamed Salah,Liverpool,eng Premier League,FW,Creative Attacking Midfielder,72.7,3371,37.5
Aurélio Buta,Reims,fr Ligue 1,DF,Defensive Midfielder,72.6,1970,21.9
Mohamed Kaba,Lecce,it Serie A,MF,Defensive Midfielder,72.6,452,5.0
Timothy Castagne,Fulham,eng Premier League,DF,Defensive Midfielder,72.6,1649,18.3
Christian Kabasele,Udinese,it Serie A,DF,Ball-playing Centre-back,72.5,1161,12.9
Lucas Paquetá,West Ham,eng Premier League,MF,Ball-winning Midfielder,72.5,2380,26.4
Maxim Leitsch,Mainz 05,de Bundesliga,DF,Ball-playing Centre-back,72.5,674,7.5
Edson Álvarez,West Ham,eng Premier League,MF,Defensive Midfielder,72.4,1772,19.7
Zeki Çelik,Roma,it Serie A,DF,Defensive Midfielder,72.3,2256,25.1
Mario Martín,Valladolid,es La Liga,MF,Ball-winning Midfielder,72.3,1748,19.4
Thomas Kristensen,Udinese,it Serie A,DF,Ball-playing Centre-back,72.3,1754,19.5
Irvin Cardona,Saint-Étienne,fr Ligue 1,FW,Wide Midfielder / Winger,72.2,1063,11.8
Keito Nakamura,Reims,fr Ligue 1,FW,Wide Midfielder / Winger,72.2,2649,29.4
Stanko Jurić,Valladolid,es La Liga,MF,Defensive Midfielder,72.2,1729,19.2
Christopher Nkunku,Chelsea,eng Premier League,FW,Clinical Striker,72.1,921,10.2
Enes Ünal,Bournemouth,eng Premier League,FW,Clinical Striker,72.1,345,3.8
Leif Davis,Ipswich Town,eng Premier League,DF,Fullback / Wing-back,72.0,2743,30.5
Enzo Tchato,Montpellier,fr Ligue 1,DF,Defensive Midfielder,72.0,1899,21.1
Carmona,Sevilla,es La Liga,DF,Defensive Midfielder,71.9,2942,32.7
Mateus Fernandes,Southampton,eng Premier League,MF,Ball-winning Midfielder,71.9,2909,32.3
Milan Đurić,Monza,it Serie A,FW,Target Man / Physical Striker,71.8,1270,14.1
Christian Günter,Freiburg,de Bundesliga,DF,Fullback / Wing-back,71.7,2314,25.7
Lamare Bogarde,Aston Villa,eng Premier League,DF,Defensive Midfielder,71.7,476,5.3
Jonathan Clauss,Nice,fr Ligue 1,DF,Box-to-box Midfielder,71.6,2303,25.6
Léo Pétrot,Saint-Étienne,fr Ligue 1,DF,Defensive Midfielder,71.6,2634,29.3
Javier Guerra,Valencia,es La Liga,MF,Ball-winning Midfielder,71.6,2581,28.7
Nhoa Sangui,Reims,fr Ligue 1,DF,Defensive Midfielder,71.5,1158,12.9
Virgil van Dijk,Liverpool,eng Premier League,DF,Defensive Centre-back,71.5,3330,37.0
Ferrán Torres,Barcelona,es La Liga,FW,Clinical Striker,71.4,1106,12.3
Marcus Coco,Nantes,fr Ligue 1,DF,Defensive Midfielder,71.4,951,10.6
Dimitri Foulquier,Valencia,es La Liga,DF,Defensive Midfielder,71.4,2299,25.5
Przemysław Frankowski,Lens,fr Ligue 1,DF,Box-to-box Midfielder,71.3,1387,15.4
Kaishu Sano,Mainz 05,de Bundesliga,MF,Defensive Midfielder,71.3,3043,33.8
Hugo Ekitike,Eint Frankfurt,de Bundesliga,FW,Clinical Striker,71.2,2563,28.5
Assane Dioussé,Auxerre,fr Ligue 1,MF,Defensive Midfielder,71.2,663,7.4
Harry Maguire,Manchester Utd,eng Premier League,DF,Defensive Centre-back,71.1,1758,19.5
Shuto Machino,Holstein Kiel,de Bundesliga,FW,Target Man / Physical Striker,71.1,1953,21.7
James Bree,Southampton,eng Premier League,DF,Defensive Midfielder,71.1,1075,11.9
Adama Boiro,Athletic Club,es La Liga,DF,Defensive Midfielder,71.1,1101,12.2
Giorgos Masouras,Bochum,de Bundesliga,FW,Target Man / Physical Striker,71.0,1055,11.7
Armindo Sieb,Mainz 05,de Bundesliga,FW,Wide Midfielder / Winger,71.0,762,8.5
Óscar de Marcos,Athletic Club,es La Liga,DF,Fullback / Wing-back,70.8,1564,17.4
Álex Valle,Como,it Serie A,DF,Defensive Midfielder,70.8,1030,11.4
Mihailo Ristić,Celta Vigo,es La Liga,DF,Defensive Midfielder,70.8,429,4.8
Hassane Kamara,Udinese,it Serie A,DF,Fullback / Wing-back,70.7,2001,22.2
Massadio Haïdara,Brest,fr Ligue 1,DF,Defensive Midfielder,70.7,1678,18.6
Tomáš Čvančara,Gladbach,de Bundesliga,FW,Target Man / Physical Striker,70.7,831,9.2
Santiago Mouriño,Alavés,es La Liga,DF,Defensive Midfielder,70.6,1849,20.5
Oliver Skipp,Leicester City,eng Premier League,MF,Defensive Midfielder,70.6,1129,12.5
Pedro Porro,Tottenham,eng Premier League,DF,Box-to-box Midfielder,70.5,2610,29.0
Andrea Cambiaso,Juventus,it Serie A,DF,Box-to-box Midfielder,70.4,2221,24.7
Benjamín Domínguez,Bologna,it Serie A,FW,Wide Midfielder / Winger,70.4,1281,14.2
Adam Wharton,Crystal Palace,eng Premier League,MF,Box-to-box Midfielder,70.3,1318,14.6
Santiago Castro,Bologna,it Serie A,FW,Target Man / Physical Striker,70.3,2294,25.5
Raoul Bellanova,Atalanta,it Serie A,DF,Fullback / Wing-back,70.3,2402,26.7
Timo Becker,Holstein Kiel,de Bundesliga,DF,Defensive Midfielder,70.3,2445,27.2
Matteo Prati,Cagliari,it Serie A,MF,Defensive Midfielder,70.2,570,6.3
Milos Kerkez,Bournemouth,eng Premier League,DF,Fullback / Wing-back,70.2,3336,37.1
Alan Matturro,Genoa,it Serie A,DF,Defensive Midfielder,70.2,900,10.0
Thijs Dallinga,Bologna,it Serie A,FW,Target Man / Physical Striker,70.2,1154,12.8
Antoine Semenyo,Bournemouth,eng Premier League,FW,Wide Midfielder / Winger,70.1,3203,35.6
Abdou Harroui,Hellas Verona,it Serie A,MF,Wide Midfielder / Winger,70.1,463,5.1
Emre Can,Dortmund,de Bundesliga,DF,Ball-playing Centre-back,70.1,2105,23.4
Casemiro,Manchester Utd,eng Premier League,MF,Ball-winning Midfielder,70.1,1494,16.6
Diego,Leganés,es La Liga,FW,Target Man / Physical Striker,70.1,1195,13.3
Johan Vásquez,Genoa,it Serie A,DF,Defensive Centre-back,70.1,3041,33.8
Augustine Boakye,Saint-Étienne,fr Ligue 1,FW,Wide Midfielder / Winger,70.1,733,8.1
Justin Njinmah,Werder Bremen,de Bundesliga,FW,Wide Midfielder / Winger,70.0,952,10.6
Daniel Maldini,Monza,it Serie A,MF,Wide Midfielder / Winger,70.0,1306,14.5
Yan Couto,Dortmund,de Bundesliga,DF,Fullback / Wing-back,70.0,895,9.9
Sergi Guardiola,Rayo Vallecano,es La Liga,FW,Target Man / Physical Striker,69.9,362,4.0
Mergim Berisha,Hoffenheim,de Bundesliga,FW,Target Man / Physical Striker,69.9,333,3.7
Andoni Gorosabel,Athletic Club,es La Liga,DF,Defensive Midfielder,69.9,1485,16.5
Rani Khedira,Union Berlin,de Bundesliga,MF,Defensive Midfielder,69.9,2723,30.3
Álvaro Morata,Milan,it Serie A,FW,Target Man / Physical Striker,69.9,1099,12.2
Enzo Boyomo,Osasuna,es La Liga,DF,Ball-playing Centre-back,69.8,2987,33.2
Felix Passlack,Bochum,de Bundesliga,DF,Fullback / Wing-back,69.8,2334,25.9
Siebe Van Der Heyden,St. Pauli,de Bundesliga,DF,Ball-playing Centre-back,69.8,872,9.7
Nick Woltemade,Stuttgart,de Bundesliga,FW,Clinical Striker,69.8,1622,18.0
Mandela Keita,Parma,it Serie A,MF,Defensive Midfielder,69.7,1826,20.3
Ladislav Krejčí,Girona,es La Liga,DF,Defensive Centre-back,69.7,2440,27.1
Cyle Larin,Mallorca,es La Liga,FW,Target Man / Physical Striker,69.7,1764,19.6
Marnon Busch,Heidenheim,de Bundesliga,DF,Defensive Midfielder,69.7,1396,15.5
Lucas Vázquez,Real Madrid,es La Liga,DF,Box-to-box Midfielder,69.6,2189,24.3
John Stones,Manchester City,eng Premier League,DF,Ball-playing Centre-back,69.6,548,6.1
Ismaël Doukouré,Strasbourg,fr Ligue 1,DF,Ball-playing Centre-back,69.5,2639,29.3
Theo Bair,Auxerre,fr Ligue 1,FW,Target Man / Physical Striker,69.5,939,10.4
Jean-Daniel Akpa-Akpro,Monza,it Serie A,MF,Defensive Midfielder,69.4,966,10.7
Pol Lozano,Espanyol,es La Liga,MF,Defensive Midfielder,69.4,1943,21.6
Janik Haberer,Union Berlin,de Bundesliga,MF,Defensive Midfielder,69.4,1696,18.8
Andrea Belotti,Como,it Serie A,FW,Target Man / Physical Striker,69.3,593,6.6
Felix Nmecha,Dortmund,de Bundesliga,MF,Ball-winning Midfielder,69.2,1509,16.8
Souleymane Touré,Udinese,it Serie A,DF,Ball-playing Centre-back,69.2,733,8.1
Danilo D'Ambrosio,Monza,it Serie A,DF,Defensive Midfielder,69.2,1095,12.2
Omar Mascarell,Mallorca,es La Liga,MF,Defensive Midfielder,69.1,1992,22.1
Kiké,Alavés,es La Liga,FW,Target Man / Physical Striker,69.1,2542,28.2
Valery Fernández,Mallorca,es La Liga,MF,Wide Midfielder / Winger,69.1,309,3.4
Adam Hložek,Hoffenheim,de Bundesliga,FW,Wide Midfielder / Winger,69.1,1871,20.8
Christian Nørgaard,Brentford,eng Premier League,MF,Ball-winning Midfielder,69.1,2819,31.3
Keven Schlotterbeck,Augsburg,de Bundesliga,DF,Ball-playing Centre-back,69.1,1297,14.4
Nicolai Remberg,Holstein Kiel,de Bundesliga,MF,Defensive Midfielder,68.9,2417,26.9
Conor Townsend,Ipswich Town,eng Premier League,DF,Defensive Midfielder,68.9,335,3.7
Dennis Appiah,Saint-Étienne,fr Ligue 1,DF,Defensive Midfielder,68.9,2128,23.6
Adrià Altimira,Leganés,es La Liga,DF,Defensive Midfielder,68.9,1630,18.1
Brennan Johnson,Tottenham,eng Premier League,FW,Wide Midfielder / Winger,68.9,2177,24.2
Lamine Camara,Monaco,fr Ligue 1,MF,Box-to-box Midfielder,68.8,2054,22.8
Leandro Paredes,Roma,it Serie A,MF,Box-to-box Midfielder,68.7,1373,15.3
Loïc Nego,Le Havre,fr Ligue 1,DF,Defensive Midfielder,68.7,2459,27.3
Niclas Füllkrug,West Ham,eng Premier League,FW,Target Man / Physical Striker,68.7,790,8.8
Chuky san jose,Valladolid,es La Liga,MF,Target Man / Physical Striker,68.7,728,8.1
Omar Alderete,Getafe,es La Liga,DF,Defensive Centre-back,68.5,2971,33.0
Trent Alexander-Arnold,Liverpool,eng Premier League,DF,Box-to-box Midfielder,68.4,2365,26.3
Boulaye Dia,Lazio,it Serie A,MF,Target Man / Physical Striker,68.3,2177,24.2
Hicham Boudaoui,Nice,fr Ligue 1,MF,Ball-winning Midfielder,68.3,2435,27.1
Tanguy Ndombele,Nice,fr Ligue 1,MF,Ball-winning Midfielder,68.3,1131,12.6
Cher Ndour,Fiorentina,it Serie A,MF,Defensive Midfielder,68.2,406,4.5
Michael Gregoritsch,Freiburg,de Bundesliga,FW,Target Man / Physical Striker,68.2,639,7.1
Munir El Haddadi,Leganés,es La Liga,FW,Wide Midfielder / Winger,68.1,862,9.6
Hans Nicolussi Caviglia,Venezia,it Serie A,MF,Ball-winning Midfielder,68.1,2861,31.8
Nahuel Estévez,Parma,it Serie A,MF,Defensive Midfielder,68.1,657,7.3
Ludovic Ajorque,Brest,fr Ligue 1,FW,Target Man / Physical Striker,68.0,2495,27.7
Rocco Reitz,Gladbach,de Bundesliga,MF,Ball-winning Midfielder,68.0,1830,20.3
Nathan N'Goumou,Gladbach,de Bundesliga,FW,Wide Midfielder / Winger,67.9,828,9.2
Jesus Vazquez,Valencia,es La Liga,DF,Defensive Midfielder,67.8,919,10.2
Giorgos Kyriakopoulos,Monza,it Serie A,DF,Fullback / Wing-back,67.8,2845,31.6
Clément Lenglet,Atlético Madrid,es La Liga,DF,Ball-playing Centre-back,67.7,1972,21.9
Phillipp Mwene,Mainz 05,de Bundesliga,DF,Fullback / Wing-back,67.6,2607,29.0
Sammie Szmodics,Ipswich Town,eng Premier League,FW,Target Man / Physical Striker,67.6,992,11.0
Gabriel Martinelli,Arsenal,eng Premier League,FW,Wide Midfielder / Winger,67.6,2290,25.4
Abdoulaye Touré,Le Havre,fr Ligue 1,MF,Ball-winning Midfielder,67.5,2324,25.8
Rodrigo De Paul,Atlético Madrid,es La Liga,MF,Box-to-box Midfielder,67.5,2106,23.4
Marcel Sabitzer,Dortmund,de Bundesliga,MF,Ball-winning Midfielder,67.4,1616,18.0
Berat Djimsiti,Atalanta,it Serie A,DF,Defensive Centre-back,67.4,2640,29.3
Nuno Mendes,Paris S-G,fr Ligue 1,DF,Box-to-box Midfielder,67.4,1676,18.6
Yasin Ayari,Brighton,eng Premier League,MF,Ball-winning Midfielder,67.4,1965,21.8
Magnus Knudsen,Holstein Kiel,de Bundesliga,MF,Defensive Midfielder,67.4,1850,20.6
Lars Ritzka,St. Pauli,de Bundesliga,DF,Defensive Midfielder,67.3,922,10.2
Rui Modesto,Udinese,it Serie A,DF,Fullback / Wing-back,67.3,608,6.8
Jackson Tchatchoua,Hellas Verona,it Serie A,DF,Fullback / Wing-back,67.1,3167,35.2
Antoine Bernede,Hellas Verona,it Serie A,MF,Ball-winning Midfielder,67.1,594,6.6
Gustav Isaksen,Lazio,it Serie A,FW,Wide Midfielder / Winger,67.0,2210,24.6
Rasmus Kristensen,Eint Frankfurt,de Bundesliga,DF,Ball-winning Midfielder,66.8,2513,27.9
Oussama Targhalline,Le Havre,fr Ligue 1,MF,Defensive Midfielder,66.8,990,11.0
Sam Morsy,Ipswich Town,eng Premier League,MF,Defensive Midfielder,66.7,2751,30.6
Oscar Højlund,Eint Frankfurt,de Bundesliga,MF,Ball-winning Midfielder,66.7,722,8.0
Issiaga Sylla,Montpellier,fr Ligue 1,DF,Fullback / Wing-back,66.6,1156,12.8
Sandro Tonali,Newcastle Utd,eng Premier League,MF,Ball-winning Midfielder,66.4,2630,29.2
Matheus Nunes,Manchester City,eng Premier League,DF,Box-to-box Midfielder,66.4,1674,18.6
Lucas Martínez Quarta,Fiorentina,it Serie A,DF,Ball-playing Centre-back,66.1,351,3.9
Modibo Sagnan,Montpellier,fr Ligue 1,DF,Ball-playing Centre-back,66.0,2141,23.8
Tymoteusz Puchacz,Holstein Kiel,de Bundesliga,DF,Fullback / Wing-back,66.0,396,4.4
Julián Álvarez,Atlético Madrid,es La Liga,FW,Clinical Striker,66.0,2509,27.9
Yerry Mina,Cagliari,it Serie A,DF,Defensive Centre-back,65.9,2569,28.5
Jérémy Jacquet,Rennes,fr Ligue 1,DF,Defensive Centre-back,65.9,927,10.3
Lamine Yamal,Barcelona,es La Liga,FW,Creative Attacking Midfielder,65.9,2856,31.7
Jarrod Bowen,West Ham,eng Premier League,FW,Wide Midfielder / Winger,65.9,2973,33.0
Denis Zakaria,Monaco,fr Ligue 1,MF,Ball-winning Midfielder,65.8,2144,23.8
Kaoru Mitoma,Brighton,eng Premier League,FW,Wide Midfielder / Winger,65.8,2603,28.9
Joseph Okumu,Reims,fr Ligue 1,DF,Defensive Centre-back,65.7,1695,18.8
Vedat Muriqi,Mallorca,es La Liga,FW,Target Man / Physical Striker,65.7,2058,22.9
Taiwo Awoniyi,Nott'ham Forest,eng Premier League,FW,Target Man / Physical Striker,65.7,416,4.6
Luka Modrić,Real Madrid,es La Liga,MF,Box-to-box Midfielder,65.6,1827,20.3
Gianluca Gaetano,Cagliari,it Serie A,MF,Wide Midfielder / Winger,65.6,1009,11.2
Flynn Downes,Southampton,eng Premier League,MF,Defensive Midfielder,65.6,2151,23.9
Aleix García,Leverkusen,de Bundesliga,MF,Box-to-box Midfielder,65.6,1455,16.2
José Luis Gayà,Valencia,es La Liga,DF,Fullback / Wing-back,65.5,1803,20.0
Philipp Treu,St. Pauli,de Bundesliga,MF,Defensive Midfielder,65.5,2881,32.0
Alexsandro Ribeiro,Lille,fr Ligue 1,DF,Defensive Centre-back,65.4,2700,30.0
Kosta Nedeljković,RB Leipzig,de Bundesliga,DF,Defensive Midfielder,65.4,479,5.3
Kalvin Phillips,Ipswich Town,eng Premier League,MF,Defensive Midfielder,65.3,1237,13.7
Mohamed Amoura,Wolfsburg,de Bundesliga,FW,Wide Midfielder / Winger,65.3,2467,27.4
Casper Tengstedt,Hellas Verona,it Serie A,FW,Target Man / Physical Striker,65.3,1517,16.9
Mikayil Ngor Faye,Rennes,fr Ligue 1,DF,Defensive Centre-back,65.2,688,7.6
Dodô,Fiorentina,it Serie A,DF,Fullback / Wing-back,65.2,3025,33.6
Youssouf Ndayishimiye,Nice,fr Ligue 1,DF,Ball-playing Centre-back,65.2,1932,21.5
Nayef Aguerd,Real Sociedad,es La Liga,DF,Defensive Centre-back,65.2,1760,19.6
Evann Guessand,Nice,fr Ligue 1,FW,Wide Midfielder / Winger,65.1,2565,28.5
Frenkie de Jong,Barcelona,es La Liga,MF,Box-to-box Midfielder,65.1,1143,12.7
Chris Richards,Crystal Palace,eng Premier League,DF,Defensive Midfielder,65.1,1922,21.4
Dan Ndoye,Bologna,it Serie A,FW,Wide Midfielder / Winger,65.1,2143,23.8
Leandro Cabrera,Espanyol,es La Liga,DF,Ball-playing Centre-back,65.0,2869,31.9
Ruben Vargas,Sevilla,es La Liga,FW,Wide Midfielder / Winger,65.0,671,7.5
Lassana Coulibaly,Lecce,it Serie A,MF,Defensive Midfielder,65.0,2667,29.6
Rasmus Højlund,Manchester Utd,eng Premier League,FW,Target Man / Physical Striker,65.0,2004,22.3
Kassoum Ouattara,Monaco,fr Ligue 1,DF,Fullback / Wing-back,64.9,391,4.3
Kacper Urbanski,Monza,it Serie A,MF,Defensive Midfielder,64.8,500,5.6
Renato Veiga,Juventus,it Serie A,DF,Defensive Centre-back,64.8,1093,12.1
Keinan Davis,Udinese,it Serie A,FW,Wide Midfielder / Winger,64.7,1066,11.8
Dennis Man,Parma,it Serie A,FW,Wide Midfielder / Winger,64.7,1995,22.2
Unai López,Rayo Vallecano,es La Liga,MF,Ball-winning Midfielder,64.7,1707,19.0
Roberto López,Leganés,es La Liga,MF,Ball-winning Midfielder,64.7,396,4.4
Frans Krätzig,Heidenheim,de Bundesliga,DF,Fullback / Wing-back,64.7,1217,13.5
Max Rosenfelder,Freiburg,de Bundesliga,DF,Ball-playing Centre-back,64.6,1249,13.9
Adrian Bernabe,Parma,it Serie A,MF,Box-to-box Midfielder,64.5,1453,16.1
Vitinha,Paris S-G,fr Ligue 1,MF,Box-to-box Midfielder,64.5,2042,22.7
Kristijan Jakić,Augsburg,de Bundesliga,MF,Defensive Midfielder,64.5,2306,25.6
Matthias Ginter,Freiburg,de Bundesliga,DF,Defensive Centre-back,64.4,2561,28.5
Nemanja Gudelj,Sevilla,es La Liga,MF,Defensive Midfielder,64.4,2493,27.7
Nicolò Barella,Inter,it Serie A,MF,Box-to-box Midfielder,64.4,2456,27.3
Sinaly Diomande,Auxerre,fr Ligue 1,DF,Ball-playing Centre-back,64.4,1945,21.6
Alberto Grassi,Empoli,it Serie A,MF,Defensive Midfielder,64.3,2203,24.5
Edimilson Fernandes,Brest,fr Ligue 1,MF,Defensive Midfielder,64.3,1105,12.3
Patrizio Masini,Genoa,it Serie A,MF,Defensive Midfielder,64.2,1538,17.1
Pep Chavarría,Rayo Vallecano,es La Liga,DF,Defensive Midfielder,64.2,2585,28.7
Carlos Benavídez,Alavés,es La Liga,MF,Ball-winning Midfielder,64.2,487,5.4
Pierre Kalulu,Juventus,it Serie A,DF,Ball-playing Centre-back,64.1,2337,26.0
Marius Courcoul,Angers,fr Ligue 1,MF,Defensive Midfielder,64.1,309,3.4
Douglas Luiz,Juventus,it Serie A,MF,Box-to-box Midfielder,64.1,529,5.9
Alessio Romagnoli,Lazio,it Serie A,DF,Defensive Centre-back,64.1,2672,29.7
Raphinha,Barcelona,es La Liga,FW,Creative Attacking Midfielder,64.1,2839,31.5
Ilaix Moriba,Celta Vigo,es La Liga,MF,Ball-winning Midfielder,64.0,2132,23.7
Gabriel Magalhães,Arsenal,eng Premier League,DF,Ball-playing Centre-back,64.0,2363,26.3
Dominik Kohr,Mainz 05,de Bundesliga,DF,Ball-playing Centre-back,63.9,2295,25.5
Ibrahim Salah,Brest,fr Ligue 1,FW,Wide Midfielder / Winger,63.9,358,4.0
Adrien Truffert,Rennes,fr Ligue 1,DF,Fullback / Wing-back,63.8,2752,30.6
Deniz Undav,Stuttgart,de Bundesliga,FW,Clinical Striker,63.8,1726,19.2
Han-Noah Massengo,Auxerre,fr Ligue 1,MF,Defensive Midfielder,63.8,1046,11.6
Harry Kane,Bayern Munich,de Bundesliga,FW,Clinical Striker,63.8,2381,26.5
Fabio Carvalho,Brentford,eng Premier League,FW,Wide Midfielder / Winger,63.8,455,5.1
Borja Mayoral,Getafe,es La Liga,FW,Target Man / Physical Striker,63.8,1114,12.4
Birama Touré,Montpellier,fr Ligue 1,MF,Defensive Midfielder,63.7,300,3.3
Bradley Barcola,Paris S-G,fr Ligue 1,FW,Creative Attacking Midfielder,63.7,2181,24.2
Amine Adli,Leverkusen,de Bundesliga,MF,Wide Midfielder / Winger,63.7,766,8.5
Nicola Zalewski,Roma,it Serie A,DF,Fullback / Wing-back,63.7,533,5.9
John McGinn,Aston Villa,eng Premier League,MF,Ball-winning Midfielder,63.7,2223,24.7
Lucas Beraldo,Paris S-G,fr Ligue 1,DF,Defensive Centre-back,63.7,2011,22.3
Jeremy Agbonifo,Lens,fr Ligue 1,FW,Wide Midfielder / Winger,63.7,300,3.3
Álex Moreno,Nott'ham Forest,eng Premier League,DF,Defensive Midfielder,63.6,955,10.6
Marc Bartra,Betis,es La Liga,DF,Defensive Centre-back,63.6,2099,23.3
Justin Kluivert,Bournemouth,eng Premier League,MF,Wide Midfielder / Winger,63.6,2340,26.0
Benedict Hollerbach,Union Berlin,de Bundesliga,FW,Wide Midfielder / Winger,63.5,2540,28.2
Marc Roca,Betis,es La Liga,MF,Ball-winning Midfielder,63.5,906,10.1
Antonio Blanco,Alavés,es La Liga,MF,Defensive Midfielder,63.4,2727,30.3
Alphonso Davies,Bayern Munich,de Bundesliga,DF,Box-to-box Midfielder,63.4,1560,17.3
Bojan Miovski,Girona,es La Liga,FW,Target Man / Physical Striker,63.4,869,9.7
Maximilian Arnold,Wolfsburg,de Bundesliga,MF,Box-to-box Midfielder,63.3,2356,26.2
Andrés García,Aston Villa,eng Premier League,DF,Fullback / Wing-back,63.2,318,3.5
Kike Salas,Sevilla,es La Liga,DF,Ball-playing Centre-back,63.2,2238,24.9
Alassane Pléa,Gladbach,de Bundesliga,MF,Wide Midfielder / Winger,63.2,1902,21.1
Matias Fernandez-Pardo,Lille,fr Ligue 1,FW,Wide Midfielder / Winger,63.1,1065,11.8
Vitaliy Mykolenko,Everton,eng Premier League,DF,Defensive Midfielder,63.1,3082,34.2
Lucas Oliveira Rosa,Valladolid,es La Liga,DF,Defensive Midfielder,63.0,1890,21.0
Pietro Pellegri,Empoli,it Serie A,FW,Wide Midfielder / Winger,63.0,414,4.6
Ivan Smolčić,Como,it Serie A,DF,Defensive Midfielder,63.0,630,7.0
Marco Grüll,Werder Bremen,de Bundesliga,FW,Wide Midfielder / Winger,63.0,1181,13.1
Quentin Merlin,Marseille,fr Ligue 1,DF,Box-to-box Midfielder,62.9,1589,17.7
Álvaro Tejero,Espanyol,es La Liga,MF,Box-to-box Midfielder,62.8,1238,13.8
Sael Kumbedi,Lyon,fr Ligue 1,DF,Defensive Midfielder,62.7,951,10.6
João Neves,Paris S-G,fr Ligue 1,MF,Box-to-box Midfielder,62.7,1844,20.5
Álvaro García,Rayo Vallecano,es La Liga,FW,Wide Midfielder / Winger,62.6,2559,28.4
Leroy Sané,Bayern Munich,de Bundesliga,FW,Creative Attacking Midfielder,62.6,1637,18.2
Ángel Correa,Atlético Madrid,es La Liga,FW,Creative Attacking Midfielder,62.6,805,8.9
Kingsley Ehizibue,Udinese,it Serie A,DF,Defensive Midfielder,62.6,2498,27.8
Marcus Pedersen,Torino,it Serie A,DF,Defensive Midfielder,62.6,1362,15.1
Jack Taylor,Ipswich Town,eng Premier League,MF,Ball-winning Midfielder,62.6,860,9.6
Tom Louchet,Nice,fr Ligue 1,DF,Ball-winning Midfielder,62.6,775,8.6
Antonio Raillo,Mallorca,es La Liga,DF,Defensive Centre-back,62.5,3207,35.6
Valentin Gendrey,Hoffenheim,de Bundesliga,DF,Fullback / Wing-back,62.4,1414,15.7
Elias Saad,St. Pauli,de Bundesliga,FW,Wide Midfielder / Winger,62.4,900,10.0
Roberto Férnandez,Espanyol,es La Liga,FW,Target Man / Physical Striker,62.4,1497,16.6
Jakub Kamiński,Wolfsburg,de Bundesliga,DF,Fullback / Wing-back,62.4,1130,12.6
Alberto Moleiro,Las Palmas,es La Liga,FW,Wide Midfielder / Winger,62.3,2714,30.2
Julian Ryerson,Dortmund,de Bundesliga,DF,Fullback / Wing-back,62.3,2259,25.1
Albert Guðmundsson,Fiorentina,it Serie A,FW,Wide Midfielder / Winger,62.3,1273,14.1
Jake O'Brien,Everton,eng Premier League,DF,Ball-playing Centre-back,62.3,1571,17.5
Elliot Anderson,Nott'ham Forest,eng Premier League,MF,Ball-winning Midfielder,62.2,2728,30.3
Tommy Doyle,Wolves,eng Premier League,MF,Box-to-box Midfielder,62.2,488,5.4
Valentin Rosier,Leganés,es La Liga,DF,Defensive Midfielder,62.2,2595,28.8
Alessandro Bianco,Monza,it Serie A,MF,Defensive Midfielder,62.1,2600,28.9
Julián Chicco,Leganés,es La Liga,MF,Ball-winning Midfielder,62.1,302,3.4
Sean Longstaff,Newcastle Utd,eng Premier League,MF,Defensive Midfielder,62.1,798,8.9
Harry Amass,Manchester Utd,eng Premier League,DF,Defensive Midfielder,62.1,346,3.8
Ulisses Garcia,Marseille,fr Ligue 1,DF,Box-to-box Midfielder,62.1,930,10.3
Marquinhos,Paris S-G,fr Ligue 1,DF,Ball-playing Centre-back,62.1,1725,19.2
Habib Diarra,Strasbourg,fr Ligue 1,MF,Box-to-box Midfielder,62.1,2352,26.1
Samuel Essende,Augsburg,de Bundesliga,FW,Target Man / Physical Striker,62.0,1636,18.2
Drissa Camara,Parma,it Serie A,MF,Wide Midfielder / Winger,62.0,447,5.0
Max Geschwill,Holstein Kiel,de Bundesliga,DF,Defensive Midfielder,62.0,1282,14.2
Vladimír Coufal,West Ham,eng Premier League,DF,Defensive Midfielder,61.8,1067,11.9
Hernani,Parma,it Serie A,MF,Ball-winning Midfielder,61.8,1327,14.7
Pasquale Mazzocchi,Napoli,it Serie A,DF,Defensive Midfielder,61.8,702,7.8
Danilo Veiga,Lecce,it Serie A,DF,Fullback / Wing-back,61.8,374,4.2
Achraf Hakimi,Paris S-G,fr Ligue 1,DF,Box-to-box Midfielder,61.7,2066,23.0
Junior Mwanga,Le Havre,fr Ligue 1,MF,Ball-winning Midfielder,61.6,952,10.6
Ademola Lookman,Atalanta,it Serie A,MF,Creative Attacking Midfielder,61.6,2247,25.0
Youri Tielemans,Aston Villa,eng Premier League,MF,Box-to-box Midfielder,61.6,3026,33.6
Harvey Elliott,Liverpool,eng Premier League,MF,Creative Attacking Midfielder,61.6,371,4.1
Jonathan Tah,Leverkusen,de Bundesliga,DF,Defensive Centre-back,61.6,2970,33.0
Aron Dønnum,Toulouse,fr Ligue 1,DF,Fullback / Wing-back,61.6,2689,29.9
