Team Playstyle,,Weight Combinations,,Match Scenario,,,,,,
DEFENSIVE,HIGH,LOW,LOW,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY
DEFENSIVE,MEDIUM,HIGH,HIGH,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK ,LOW_BLOCK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,MEDIUM,HIGH,MEDIUM,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK ,COUNTER_ATTACK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,MEDIUM,HIGH,LOW,COUNTER_ATTACK,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY
DEFENSIVE,MEDIUM,MEDIUM,HIGH,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK ,COUNTER_ATTACK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,MEDIUM,MEDIUM,MEDIUM,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK ,COUNTER_ATTACK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,MEDIUM,MEDIUM,LOW,COUNTER_ATTACK,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY
DEFENSIVE,MEDIUM,LOW,HIGH,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK ,COUNTER_ATTACK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,MEDIUM,LOW,MEDIUM,COUNTER_ATTACK,COUNTER_ATTACK,DIRECT_PLAY,DIRECT_PLAY,COUNTER_ATTACK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,MEDIUM,LOW,LOW,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY
DEFENSIVE,LOW,HIGH,HIGH,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK ,LOW_BLOCK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,LOW,HIGH,MEDIUM,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK ,COUNTER_ATTACK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,LOW,HIGH,LOW,COUNTER_ATTACK,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY
DEFENSIVE,LOW,MEDIUM,HIGH,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK ,LOW_BLOCK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,LOW,MEDIUM,MEDIUM,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK ,COUNTER_ATTACK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,LOW,MEDIUM,LOW,COUNTER_ATTACK,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY
DEFENSIVE,LOW,LOW,HIGH,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK ,LOW_BLOCK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,LOW,LOW,MEDIUM,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK ,LOW_BLOCK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,LOW,LOW,LOW,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK,LOW_BLOCK ,LOW_BLOCK,LOW_BLOCK,DIRECT_PLAY
